"name[Blue Spice], eatType[coffee shop], area[city centre]"	The Blue Spice is a coffee shop in the city centre that is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A kid friendly pub near Raja Indian Cuisine in the riverside area is The Mill. It serves Fast food and has a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	Near Café Rouge in the city centre is a pub called The Mill that serves Fast food with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	"Located in the city centre near Café Rouge, The Mill is a pub that serves Fast food with a price range of £20-25. It is kid friendly and has a high customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	In the riverside area near Café Rouge is a pub called The Mill that serves Fast food with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a pub that serves Fast food in the £20-25 price range. It is located in the riverside area near Café Rouge. It is kid friendly and has a high customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the £20-25 price range. It is located in the riverside area near Café Sicilia. It is kid friendly and has a high customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Near Raja Indian Cuisine in the riverside area is a family friendly pub called The Mill. It serves Fast food and is cheap.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap Fast food pub located in the city centre near Café Sicilia. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a cheap Fast food pub located in the city centre near Café Sicilia. It is family friendly and has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap Fast food pub located in the riverside area near Café Sicilia. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	"Located near Café Sicilia in the riverside area, The Mill is a cheap pub that serves Fast food. It is family friendly and has a customer rating of 5 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap Fast food pub located in the city centre near Café Sicilia. It has an average customer rating and is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	If you are looking for a cheap pub that serves Fast food in the city centre area near Café Sicilia is The Mill. It is family-friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap Fast food pub located in the riverside area near Café Sicilia. It has an average customer rating and is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a cheap pub that serves Fast food and is located in the riverside area near Café Sicilia. It is family friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	There is a pub called The Mill that serves Fast food in the city centre near Café Sicilia. It has a high price range and a customer rating of 1 out of 5. It is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	"Located in the city centre near Café Sicilia, The Mill is a high priced pub that serves Fast food. It is child friendly and has a customer rating of 1 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the riverside area near Café Sicilia. It has a high price range and a customer rating of 1 out of 5. It is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	"Located near Café Sicilia in the riverside area, The Mill is a high priced pub that serves Fast food. It is child friendly and has a customer rating of 1 out of 5."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the high price range. It is located in the city centre near Café Sicilia. It has an average customer rating and is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the high price range. It is located in the city centre near Café Sicilia. It is children friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the high price range. It is located in the riverside area near Café Sicilia. It has an average customer rating and is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the high price range. It is located in the riverside area near Café Sicilia. It is children friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub that serves Fast food for less than £20. It is located in the city centre near Café Sicilia. It is not family-friendly and has a low customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]"	A family-friendly pub near Café Sicilia in the city centre is The Mill. It has a low customer rating and serves Fast food for less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the less than £20 price range. It is located in the riverside area near Café Sicilia. It is not family-friendly and has a low customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]"	There is a family friendly pub called The Mill that serves Fast food in the riverside area near Café Sicilia. It has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a moderately priced Fast food pub located in the city centre near Café Sicilia. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	Near Café Sicilia in the city centre is a pub called The Mill that serves Fast food and is kid friendly. It has a moderate price range and a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	In the riverside area near Café Sicilia is a pub called The Mill that serves Fast food and is not kid friendly. It has a moderate price range and a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	At the riverside near Café Sicilia is a pub called The Mill that serves Fast food and is kid friendly. It has a moderate price range and a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	There is a moderately priced Fast food pub near Café Sicilia in the city centre called The Mill. It is not kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	In the city centre near Café Sicilia is a pub called The Mill. It serves Fast food and is kid friendly. It has a moderate price range and a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	At the riverside near Café Sicilia is a pub called The Mill. It serves Fast food and is not kid friendly. It has a moderate price range and a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a pub that serves Fast food in the moderate price range. It is located in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced restaurant that is child friendly in the riverside area near Raja Indian Cuisine is The Mill.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a restaurant that serves English food in the high price range. It is located in the riverside area near Café Rouge. It has an average customer rating.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Near Raja Indian Cuisine is a English restaurant called The Mill. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family-friendly restaurant that serves English food for less than £20. It is located in the city centre near Raja Indian Cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a English restaurant called The Mill. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family friendly restaurant that serves English food for less than £20. It is located near Raja Indian Cuisine in the riverside area.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is a English restaurant located in the city centre near Café Rouge. It has a low customer rating and is not family-friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]"	A family-friendly restaurant in the city centre near Café Rouge is The Mill. It has a low customer rating and serves English food.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]"	In the riverside area near Café Rouge is a English restaurant called The Mill. It has a low customer rating and is not family-friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]"	If you are looking for a family friendly restaurant that serves English food in the riverside area near Café Rouge then the Mill. It has a low customer rating.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	English restaurant The Mill is located in the city centre near Raja Indian Cuisine. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	In the city centre near Raja Indian Cuisine is a English restaurant called The Mill. It is kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	In the riverside area near Raja Indian Cuisine is a English restaurant called The Mill. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, The Mill is a kid friendly restaurant that serves English food at a moderate price."
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	An English restaurant named The Mill is located in the city centre near Café Rouge. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a moderately priced English restaurant located in the city centre near Café Rouge. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is a moderately priced English restaurant located near Café Rouge in the riverside area. It is not kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	At the riverside area is a moderately priced English restaurant called The Mill. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	English restaurant The Mill is located in the city centre near Café Rouge. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	There is a moderately priced English restaurant called The Mill located in the city centre near Café Rouge. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	In the riverside area near Café Rouge is a English restaurant called The Mill. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a restaurant that serves English food in the moderate price range. It is located in the riverside area near Café Rouge. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a restaurant that serves English food in the riverside area near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	There is a highly rated English restaurant called The Mill in the city centre near Café Rouge. It is not child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a highly rated English restaurant in the city centre near Café Rouge. It is child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is a highly rated English restaurant in the riverside area near Café Rouge. It is not child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a high rated English restaurant in the riverside area near Café Rouge. It is child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Near Raja Indian Cuisine in the riverside area is a kid friendly restaurant called The Mill. It serves Fast food and is in the £20-25 price range.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A cheap restaurant in the riverside area near Raja Indian Cuisine is The Mill. It is family friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a cheap pub that serves Fast food in the riverside area then the Phoenix is family friendly. It is located near Raja Indian Cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	For a high priced Fast food pub near Raja Indian Cuisine in the city centre there is The Phoenix. It is not child friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a pub that serves Fast food in the high price range. It is located in the city centre near Raja Indian Cuisine. It is children friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a pub that serves Fast food in the high price range. It is located in the riverside area near Raja Indian Cuisine. It is not child friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced pub that serves Fast food in the riverside area is The Phoenix. It is child friendly and is located near Raja Indian Cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Fast food is served at The Phoenix pub in the city centre near Raja Indian Cuisine. It is not family-friendly and has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	"Located in the city centre near Raja Indian Cuisine, The Phoenix is a family friendly pub that serves Fast food for less than £20."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	There is a pub called The Phoenix that serves Fast food in the riverside area near Raja Indian Cuisine. It is not family-friendly and has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a family friendly pub that serves Fast food for less than £20. It is located in the riverside area near Raja Indian Cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a pub that serves Fast food in the moderate price range. It is located in the city centre near Raja Indian Cuisine. It is not kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a moderately priced pub The Phoenix located in the city centre near Raja Indian Cuisine. It serves Fast food and is kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, The Phoenix is a moderately priced Fast food pub that is not kid friendly."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	A kid friendly pub near Raja Indian Cuisine in the riverside area is The Phoenix. It serves Fast food and has a moderate price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a pub that serves Fast food in the moderate price range. It is located in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	There is a pub called The Phoenix that serves Fast food in the riverside area near Raja Indian Cuisine. It is child friendly and has a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a pub that serves Fast food in the more than £30 price range. It is located in the city centre near Café Sicilia. It is not child friendly and has a high customer rating.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a pub that serves Fast food in the more than £30 price range. It is located in the city centre near Café Sicilia. It is child friendly and has a high customer rating.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a highly rated pub that serves Fast food in the riverside area near Café Sicilia. It is not child friendly and has a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	Café Sicilia is a high rated Fast food pub near Café Sicilia in the riverside area that is child friendly and has a price range of more than £30.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"Located near Raja Indian Cuisine in the riverside area, The Phoenix is a kid friendly pub that serves French food and has a price range of £20-25."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	"Located in the city centre near Café Sicilia, The Phoenix is a French pub with a price range of £20-25. It is not kid friendly and has a customer rating of 3 out of 5."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	"Located in the city centre near Café Sicilia, The Phoenix is a kid friendly pub with a customer rating of 3 out of 5. It serves French food and is in the £20-25 price range."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	"Located near Café Sicilia in the riverside area, The Phoenix is a French pub with a price range of £20-25. It is not kid friendly and has a customer rating of 3 out of 5."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	"Located near Café Sicilia in the riverside area, The Phoenix is a kid friendly pub with a customer rating of 3 out of 5. It serves French food and is in the £20-25 price range."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel in the riverside area, The Phoenix is a kid friendly pub with a customer rating of 3 out of 5. It serves French food and is in the £20-25 price range."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	In the city centre near Crowne Plaza Hotel is a pub called The Phoenix that serves French food with a price range of £20-25. It has a high customer rating and is not kid friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	"Located in the city centre near Crowne Plaza Hotel, The Phoenix is a pub that serves French food with a price range of £20-25. It is kid friendly and has a high customer rating."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	"Located near Crowne Plaza Hotel in the riverside area, The Phoenix is a pub that serves French food with a price range of £20-25. It is not kid friendly and has a high customer rating."
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the riverside area near Crowne Plaza Hotel. It has a high customer rating and is kid friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a cheap pub that serves French food in the riverside area then the Phoenix is family friendly. It is located near Raja Indian Cuisine.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a cheap French pub located in the city centre near Crowne Plaza Hotel. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a cheap French pub located in the city centre near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	There is a cheap pub named The Phoenix that serves French food near Crowne Plaza Hotel in the riverside area. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	There is a cheap pub named The Phoenix that serves French food in the riverside area near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	If you are looking for a high priced pub that serves French food in the riverside area is The Phoenix. It is child friendly and is located near Raja Indian Cuisine.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the city centre near Crowne Plaza Hotel. It has a high price range and a customer rating of 3 out of 5. It is not child friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the high price range. It is located in the city centre near Crowne Plaza Hotel. It is child friendly and has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the riverside area near Crowne Plaza Hotel. It has a high price range and a customer rating of 3 out of 5. It is not child friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the high price range. It is located in the riverside area near Crowne Plaza Hotel. It is child friendly and has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	In the city centre near Crowne Plaza Hotel is a pub called The Phoenix that serves French food for less than £20. It has an average customer rating and is not family-friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	"Located in the city centre near Crowne Plaza Hotel, The Phoenix is a family friendly pub with an average customer rating. It serves French food for less than £20."
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the less than £20 price range. It is located in the riverside area near Crowne Plaza Hotel. It has an average customer rating and is not family-friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel in the riverside area is a family friendly pub called The Phoenix. It serves French food and has an average customer rating.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	Near Crowne Plaza Hotel in the city centre is a pub called The Phoenix. It serves French food and is not family-friendly. It has a low customer rating and a price range of less than £20.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	A family-friendly pub near Crowne Plaza Hotel in the city centre is The Phoenix. It has a low customer rating and serves French food for less than £20.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves French food in the less than £20 price range. It is located in the riverside area near Crowne Plaza Hotel. It is not family-friendly and has a low customer rating.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	There is a family friendly pub called The Phoenix that serves French food in the riverside area near Crowne Plaza Hotel. It has a low customer rating and a price range of less than £20.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The Phoenix is a moderately priced French pub located in the city centre near Crowne Plaza Hotel. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	In the city centre near Crowne Plaza Hotel is a pub called The Phoenix that serves French food and is kid friendly. It has a moderate price range and a customer rating of 1 out of 5.
