"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue spice is a coffee shop in city centre.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The cricketers is a cheap, family friendly restaurant located near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]"	The cricketers is a cheap english restaurant located in the city centre near café rouge. it has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]"	The cricketers is a cheap family-friendly english restaurant located in the city centre near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]"	The cricketers is a cheap english restaurant near café rouge in the riverside area. it is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]"	The cricketers is a cheap, family friendly restaurant near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The cricketers is a high priced english restaurant located in the city centre near café rouge. it has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The cricketers is a children friendly english restaurant in the high price range. it is located in the city centre near the café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The cricketers is a high priced english restaurant located near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The cricketers is an expensive english restaurant located near café rouge.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]"	The cricketers is an expensive english restaurant located in the city centre near café rouge. it has an average customer rating and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]"	The cricketers is an english restaurant located in the city centre near café rouge. it is children friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]"	The cricketers is a high priced english restaurant located in the riverside area near café rouge.
"name[The Mill], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a child friendly pub located in the riverside area near raja indian cuisine. it serves english food in the high price range.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a family-friendly pub located in the city centre near raja indian cuisine. it serves english food for less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a family-friendly pub located in the city centre near raja indian cuisine. it serves english food for less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a low-priced pub located near raja indian cuisine.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a family-friendly pub located near raja indian cuisine.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a moderately priced english pub located in the city centre near raja indian cuisine.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a moderately priced english pub in the city centre near raja indian cuisine. it is kids friendly.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a moderately priced english pub located near raja indian cuisine.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a moderately priced, kid friendly pub near raja indian cuisine.
"name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a children friendly pub near raja indian cuisine.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a kid friendly fast food pub located near raja indian cuisine in the riverside area.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	The mill is a fast food pub located in the city centre near café rouge. it has a high customer rating and a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	The mill is a fast food pub in the city centre near café rouge. it has a high customer rating and is kid friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	The mill is a fast food pub near café rouge.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is a kid friendly fast food pub near café rouge.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a kid friendly fast food pub near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a cheap fast food pub near raja indian cuisine in the riverside area. it is family friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a cheap fast food pub located in the city centre near café sicilia. it has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a cheap, family-friendly fast food pub in the city centre near café sicilia with a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a cheap fast food pub located in the riverside area near café sicilia. it has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a cheap, family friendly pub located near the café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a cheap fast food pub in the city centre near café sicilia. it is not family-friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a cheap family-friendly fast food pub in the city centre near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a cheap fast food pub near café sicilia in the riverside area. it is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a cheap, family friendly pub near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a high priced fast food pub in the city centre near café sicilia. it has a customer rating of 1 out of 5 and is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a child friendly fast food pub in the city centre. it is located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a high priced fast food pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a children friendly pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a high priced fast food pub located in the city centre near café sicilia. it has an average customer rating and is not family-friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a family-friendly fast food pub in the city centre near café sicilia. it has an average customer rating and a high price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a high priced fast food pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a child friendly fast food pub near café sicilia in the riverside area.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a fast food pub near café sicilia in the city centre. it is not family-friendly and has a low customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a family-friendly fast food pub in the city centre near café sicilia. it has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a low-priced pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a family-friendly pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a moderately priced fast food pub in the city centre near café sicilia. it has a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a kid friendly fast food pub near café sicilia in the city centre. it has a moderate price range and a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a moderately priced fast food pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a moderately priced pub near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The mill is a moderately priced fast food pub located near café sicilia in the city centre. it has a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The mill is a kid friendly fast food pub in the city centre near café sicilia. it has a moderate price range and a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The mill is a fast food pub located near café sicilia.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The mill is a moderately priced fast food pub located near café sicilia.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a child friendly english restaurant in the high price range. it is located in the riverside area near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is a family friendly restaurant located near the café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a non family-friendly restaurant located in the city centre near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a family-friendly restaurant serving english food in the less than £20 price range. it is located in the city centre near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a low-priced restaurant near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a family friendly english restaurant located near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]"	The mill is a cheap english restaurant located in the city centre near café rouge. it has a low customer rating.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]"	The mill is a family-friendly restaurant serving english food in the low price range. it is located in the city centre near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]"	The mill is a low priced restaurant located near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is a family friendly restaurant located near the café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a moderately priced english restaurant located near raja indian cuisine in the city centre.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a moderately priced english restaurant located in the city centre near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The mill is a moderately priced english restaurant near raja indian cuisine in the riverside area.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a moderately priced english restaurant located near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The mill is a moderately priced english restaurant located in the city centre near café rouge. it has a customer rating of 1 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The mill is a moderately priced english restaurant in the city centre near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The mill is a moderately priced restaurant located near the café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is a moderately priced restaurant located near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The mill is a moderately priced english restaurant located in the city centre near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The mill is a moderately priced english restaurant in the city centre near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The mill is a moderately priced restaurant located near the café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is a moderately priced english restaurant located near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a children friendly english restaurant near raja indian cuisine in the riverside area. the price range is more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	The mill is an expensive english restaurant located near café rouge in the city centre. it is not child friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	The mill is a child friendly english restaurant in the more than £30 price range. it is located near café rouge in the city centre.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	The mill is a high-priced english restaurant located near café rouge.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The mill is an expensive english restaurant located near café rouge.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a kid friendly fast food restaurant located near raja indian cuisine.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The mill is a family friendly fast food restaurant in the cheap price range. it is located in the riverside area near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a cheap fast food pub near raja indian cuisine in the riverside area. it is family friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a high priced fast food pub in the city centre near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family-friendly fast food pub in the city centre near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a high priced fast food pub near raja indian cuisine in the riverside area. it is not child friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a children friendly fast food pub in the riverside area near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a fast food pub located near raja indian cuisine in the city centre. it is not family-friendly and has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family-friendly fast food pub in the city centre near raja indian cuisine. it has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a cheap fast food pub near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a family friendly fast food pub near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food pub located near raja indian cuisine in the city centre.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food pub in the city centre near raja indian cuisine. it is kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The phoenix is a moderately priced fast food pub near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a kid friendly fast food pub in the riverside area near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The phoenix is a moderately priced fast food pub located near café sicilia.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a child friendly fast food pub near raja indian cuisine in the riverside area. the price range is more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Sicilia]"	The phoenix is a fast food pub located in the city centre near café sicilia. it has a high customer rating and is not children friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The phoenix is a children friendly fast food pub near café sicilia in the city centre. it has a high customer rating and a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]"	The phoenix is a fast food pub in the riverside area near café sicilia. it has a high customer rating and is not child friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The phoenix is a children friendly fast food pub near café sicilia in the riverside area. the price range is more than £30.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a kid friendly french pub located near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The phoenix is a french pub located in the city centre near café sicilia. it is not kid friendly and has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The phoenix is a kid friendly french pub in the city centre near café sicilia. it has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The phoenix is a french pub near café sicilia in the riverside area. it has a customer rating of 3 out of 5 and is not kid friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The phoenix is a kid-friendly french pub near café sicilia.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a kid-friendly french pub near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub near crowne plaza hotel in the city centre. it has a high customer rating and is not kid friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a kid friendly french pub in the city centre near crowne plaza hotel with a high customer rating and a price range of £20-25.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub in the riverside area near crowne plaza hotel. it has a price range of £20-25 and is not kid friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a kid friendly french pub located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a cheap, family friendly pub located near raja indian cuisine.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a cheap french pub located near crowne plaza hotel in the city centre. it has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a cheap, family-friendly french pub in the city centre near crowne plaza hotel with a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a cheap french pub near crowne plaza hotel in the riverside area. it has a customer rating of 5 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a cheap, family friendly pub near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The phoenix is a children friendly french pub near raja indian cuisine in the riverside area.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a high priced french pub in the city centre near crowne plaza hotel. it has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a children friendly french pub in the city centre near crowne plaza hotel. it has a high price range and a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a high priced french pub located near crowne plaza hotel in the riverside area.
"name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family friendly pub located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub near crowne plaza hotel in the city centre. it is not family-friendly and has an average customer rating.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub located in the city centre near crowne plaza hotel. it serves french food for less than £20.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a low-priced pub near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub located in the city centre near crowne plaza hotel. it has a low customer rating and is not family-friendly.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub located in the city centre near crowne plaza hotel. it serves french food for less than £20.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a low priced pub located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a family-friendly pub located near crowne plaza hotel.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a moderately priced french pub near crowne plaza hotel in the city centre. it has a customer rating of 1 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a kid friendly french pub located near crowne plaza hotel in the city centre. it has a moderate price range and a customer rating of 1 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]"	The phoenix is a french pub located near crowne plaza hotel in the riverside area.
"name[The Phoenix], eatType[pub], food[French], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The phoenix is a kid friendly pub located near the crowne plaza hotel.
