'name[Blue Spice], eatType[coffee shop], area[city centre]'	'Blue Spice is in city centre and it is a coffee shop.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and moderately priced and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 1 out of 5 rating, it is a chinese restaurant and kid friendly and it is moderately priced.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 3 out of 5 rating, it is a chinese restaurant and moderately priced and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a 3 out of 5 rating, it is a chinese restaurant, moderately priced and kid friendly and it is a restaurant.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 3 out of 5 rating, it is a chinese restaurant and moderately priced and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a 3 out of 5 rating, it is a chinese restaurant, moderately priced and kid friendly and it is a restaurant.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers costs more than £30 with a high rating, it is near All Bar One in city centre, it is a chinese restaurant and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers costs more than £30 with a high rating, it is near All Bar One in city centre and it is a chinese restaurant and family friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers costs more than £30 with a high rating, it is near All Bar One in riverside, it is a chinese restaurant and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a high rating, it is a chinese restaurant and kid friendly and it costs more than £30.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is an english restaurant with a price range of £20-25 with a high rating, it is near All Bar One in city centre and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in city centre near All Bar One with a high rating with a price range of £20-25, it is an english restaurant and family friendly and it is a restaurant.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is an english restaurant with a price range of £20-25 with a high rating, it is near All Bar One in riverside and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is in riverside near All Bar One with a high rating with a price range of £20-25, it is an english restaurant and family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with a 5 out of 5 rating, it is an english restaurant and cheap and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with a 5 out of 5 rating, it is an english restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with a 5 out of 5 rating, it is an english restaurant and cheap and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with a 5 out of 5 rating, it is an english restaurant and family friendly and it is cheap.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is an english restaurant and cheap with an average rating, it is near Café Rouge in city centre and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with an average rating, it is cheap and an english restaurant and family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with an average rating, it is an english restaurant and cheap and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with an average rating, it is cheap and an english restaurant and family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with a 1 out of 5 rating, it is an english restaurant and expensive and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with a 1 out of 5 rating, it is an english restaurant and family friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with a 1 out of 5 rating, it is an english restaurant and expensive and it is n 't kid friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with a 1 out of 5 rating, it is an english restaurant and kid friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with an average rating, it is an english restaurant and expensive and it is n 't family friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is in city centre near Café Rouge with an average rating, it is an english restaurant and family friendly and it is expensive.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is in riverside near Café Rouge with an average rating, it is an english restaurant and expensive and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is expensive, an english restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a pub.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is in city centre near Raja Indian Cuisine, it is an english restaurant, it is a pub, it is n 't family friendly and it costs less than £20.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill costs less than £20, it 's near Raja Indian Cuisine in city centre, it is an english restaurant and family friendly and it is a pub.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a pub, it costs less than £20, it 's near Raja Indian Cuisine in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill costs less than £20, it 's near Raja Indian Cuisine in riverside, it is an english restaurant and family friendly and it is a pub.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is moderately priced and an english restaurant, it is in city centre near Raja Indian Cuisine, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is moderately priced, an english restaurant and kid friendly, it is near Raja Indian Cuisine in city centre and it is a pub.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is an english restaurant and moderately priced, it is in riverside near Raja Indian Cuisine, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is moderately priced, an english restaurant and kid friendly, it is in riverside near Raja Indian Cuisine and it is a pub.'
'name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill costs more than £30, it 's near Raja Indian Cuisine in riverside, it is an english restaurant and family friendly and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine with a price range of £20-25, it is a pub and it is kid friendly and a fast food restaurant.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a fast food restaurant with a price range of £20-25 with a high rating, it is in city centre near Café Rouge, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a fast food restaurant and kid friendly with a price range of £20-25 with a high rating, it is in city centre near Café Rouge and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a fast food place with a high rating with a price range of £20-25, it is in riverside near Café Rouge, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a fast food restaurant and kid friendly with a price range of £20-25 with a high rating, it is in riverside near Café Rouge and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a fast food restaurant and kid friendly with a price range of £20-25 with a high rating, it is in riverside near Café Sicilia and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is cheap, kid friendly and a fast food restaurant, it is near Raja Indian Cuisine in riverside and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant and cheap with a 5 out of 5 rating, it is in city centre near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a 5 out of 5 rating, it is a pub, it is family friendly and a fast food place and cheap.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is cheap and a fast food restaurant with a 5 out of 5 rating, it is near Café Sicilia in riverside, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is cheap, a fast food restaurant and kid friendly with a 5 out of 5 rating, it is near Café Sicilia in riverside and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant and cheap with an average rating, it is in city centre near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is near Café Sicilia in city centre with an average rating, it is a fast food restaurant, cheap and family friendly and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant and cheap with an average rating, it is in riverside near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with an average rating, it is a fast food restaurant, cheap and kid friendly and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant and expensive, it is n 't kid friendly and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant, kid friendly and expensive and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant and expensive, it is n 't kid friendly and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant, expensive and kid friendly and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with an average rating, it is a fast food restaurant and expensive, it is n 't kid friendly and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with an average rating, it is a fast food restaurant, kid friendly and expensive and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with an average rating, it is a fast food restaurant and expensive, it is n 't kid friendly and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with an average rating, it is a fast food restaurant, expensive and kid friendly and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant with a low rating, it is in city centre near Café Sicilia, it is a pub, it is n 't family friendly and it costs less than £20.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a low rating, it is a fast food restaurant and family friendly, it costs less than £20 and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill costs less than £20 with a low rating, it is near Café Sicilia in riverside, it is a fast food restaurant, it is n 't kid friendly and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with a low rating, it is a fast food restaurant and family friendly, it costs less than £20 and it 's a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is moderately priced and a fast food restaurant with a 1 out of 5 rating, it is in city centre near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant, kid friendly and moderately priced and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is moderately priced and a fast food restaurant with a 1 out of 5 rating, it is in riverside near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with a 1 out of 5 rating, it is a fast food restaurant, kid friendly and moderately priced and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is n 't kid friendly with a 3 out of 5 rating, it is moderately priced and a fast food restaurant, it is near Café Sicilia in city centre and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in city centre near Café Sicilia with a 3 out of 5 rating, it is a fast food place, kid friendly and moderately priced and it is a pub.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is moderately priced and a fast food restaurant with a 3 out of 5 rating, it is in riverside near Café Sicilia, it is a pub and it is n 't kid friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is in riverside near Café Sicilia with a 3 out of 5 rating, it is a fast food place, kid friendly and moderately priced and it is a pub.'
'name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is an english restaurant and kid friendly and it is expensive.'
'name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with an average rating, it is an english restaurant and kid friendly and it is expensive.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill costs less than £20, it 's near Raja Indian Cuisine in city centre, it is an english restaurant and it is n 't family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill costs less than £20, it 's near Raja Indian Cuisine in city centre and it is an english restaurant and family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill costs less than £20, it 's near Raja Indian Cuisine in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is an english restaurant and family friendly and it costs less than £20.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill costs less than £20 with a low rating, it is near Café Rouge in city centre, it is an english restaurant and it is n 't family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill costs less than £20 with a low rating, it is near Café Rouge in city centre and it is an english restaurant and family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill costs less than £20 with a low rating, it is near Café Rouge in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with a low rating, it is an english restaurant and family friendly and it costs less than £20.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is moderately priced and an english restaurant, it is near Raja Indian Cuisine in city centre and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in city centre near Raja Indian Cuisine, it is moderately priced and an english restaurant and it is kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is an english restaurant and moderately priced and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is moderately priced and an english restaurant and it is kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is in city centre near Café Rouge with a 1 out of 5 rating, it is an english restaurant and moderately priced and it is n 't family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is moderately priced, an english restaurant and kid friendly with a 1 out of 5 rating, it is in city centre near Café Rouge and it is a restaurant.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with a 1 out of 5 rating, it is an english restaurant and moderately priced and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with a 1 out of 5 rating, it is moderately priced and an english restaurant and it is kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is in city centre near Café Rouge with a 3 out of 5 rating, it is an english restaurant and moderately priced and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is moderately priced, an english restaurant and kid friendly with a 3 out of 5 rating, it is in city centre near Café Rouge and it is a restaurant.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with a 3 out of 5 rating, it is an english restaurant and moderately priced and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is in riverside near Café Rouge with a 3 out of 5 rating, it is moderately priced and an english restaurant and it is kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is an english restaurant and family friendly and it costs more than £30.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill costs more than £30 with a high rating, it is near Café Rouge in city centre, it is an english restaurant and it is n 't family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill costs more than £30 with a high rating, it is near Café Rouge in city centre and it is an english restaurant and family friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill costs more than £30 with a high rating, it is near Café Rouge in riverside, it is an english restaurant and it is n 't kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill costs more than £30 with a high rating, it is near Café Rouge in riverside and it is an english restaurant and family friendly.'
'name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine with a price range of £20-25, it is a fast food restaurant and kid friendly.'
'name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is in riverside near Raja Indian Cuisine, it is cheap and a fast food restaurant and family friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is cheap, kid friendly and a fast food restaurant, it is near Raja Indian Cuisine in riverside and it is a pub.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant and expensive, it is in city centre near Raja Indian Cuisine, it is a pub and it is n 't kid friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant, kid friendly and expensive, it is near Raja Indian Cuisine in city centre and it is a pub.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant and expensive, it is in riverside near Raja Indian Cuisine, it is a pub and it is n 't kid friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant, kid friendly and expensive, it is in riverside near Raja Indian Cuisine and it is a pub.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix costs less than £20, it 's in city centre near Raja Indian Cuisine, it is a pub, it is a fast food restaurant and it is n 't family friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant and family friendly, it costs less than £20, it 's near Raja Indian Cuisine in city centre and it is a pub.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is near Raja Indian Cuisine in riverside, it is a fast food restaurant, it is a pub, it costs less than £20 and it is n 't kid friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is in riverside near Raja Indian Cuisine, it is a fast food restaurant and family friendly, it costs less than £20 and it 's a pub.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant and moderately priced, it is in city centre near Raja Indian Cuisine, it is a pub and it is n 't kid friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a fast food restaurant, kid friendly and moderately priced, it is near Raja Indian Cuisine in city centre and it is a pub.'
