'name[Blue Spice], eatType[coffee shop], area[city centre]'	'In the city centre Blue Spice is a coffee shop with a price range of more than £30.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 3 out of 5.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 3 out of 5. It is kid friendly.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the more than £30 price range. It is located near All Bar One in the city centre. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers provides chinese food in the more than £30 price range. It is located in the city centre. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing chinese food in the more than £30 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.'
'name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a children friendly chinese restaurant in the riverside area near the All Bar One with a high customer rating and a price range of more than £30.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. It has a high customer rating and is not child friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]'	'The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. It is kids friendly and has a high customer rating.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]'	'The Cricketers is a restaurant providing english food in the price range of £20-25. It is located in the riverside area near All Bar One. It has a high customer rating and is not kid friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]'	'The Cricketers is an english restaurant in the riverside area near All Bar One. It has a high customer rating, is kid friendly, and has a price range of £20-25.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the cheap price range. It is located in the city centre near Café Rouge. It is not family-friendly and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a cheap, family-friendly restaurant in the city centre near Café Rouge. It serves english food and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the cheap price range. It is located in riverside near Café Rouge. It is not family-friendly and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a cheap, family-friendly restaurant in the riverside area near Café Rouge. It serves english food and has a customer rating of 5 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the cheap price range. It is located in the city centre near Café Rouge. It is not family-friendly and has an average customer rating.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a cheap, family-friendly english restaurant in the city centre near Café Rouge with an average customer rating.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the cheap price range. It is located in riverside near Café Rouge and has an average customer rating. It is not family-friendly.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a cheap, family-friendly restaurant in the riverside area near Café Rouge. It has an average customer rating and serves english food.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the city centre near Café Rouge. It is not child friendly and has a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the city centre near Café Rouge. It is child friendly and has a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the riverside area near Café Rouge. It is not child friendly and has a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the riverside area near Café Rouge. It is child friendly and has a customer rating of 1 out of 5.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the city centre near Café Rouge. It is not child friendly and has an average customer rating.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the city centre near Café Rouge. It is children friendly and has an average customer rating.'
'name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Cricketers is a restaurant providing english food in the high price range. It is located in the riverside area near Café Rouge. It is not children friendly and has an average customer rating.'
'name[The Mill], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a children friendly english pub in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a non-family-friendly english pub with a price range of less than £20 located near Raja Indian Cuisine in the city centre.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a family-friendly pub that serves cheap english food. It is located in the city centre near Raja Indian Cuisine.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is an english pub near Raja Indian Cuisine in the riverside area. It is not family-friendly and costs less than £20.'
'name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a family-friendly pub near Raja Indian Cuisine in the riverside area. It serves english food and has a price range of less than £20.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a moderately priced english pub in the city centre near Raja Indian Cuisine. It is not child friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a pub providing english food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is child friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a moderately priced english pub in the riverside area near Raja Indian Cuisine. It is not kid friendly.'
'name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is an english pub in the riverside area near Raja Indian Cuisine. It is kid friendly and moderately priced.'
'name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a children friendly pub in the riverside area near Raja Indian Cuisine. It serves english food and has a price range of more than £30.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a kid friendly pub in the riverside area near Raja Indian Cuisine. It serves fast food and has a price range of £20-25.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a pub providing fast food in the £20-25 price range. It is located in the city centre near Café Rouge. It has a high customer rating and is not child friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a pub providing indian food in the £20-25 price range. It is located in the city centre. It is near Café Rouge. Its customer rating is high.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a pub providing indian food in the £20-25 price range. It is located in the riverside. It is near Café Rouge. Its customer rating is high.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a kid friendly fast food restaurant in the riverside area near Café Rouge with a high customer rating and a price range of £20-25.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a kid friendly fast food restaurant in the riverside area near Café Sicilia with a high customer rating and a price range of £20-25.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a cheap family friendly pub serving fast food in the riverside area near Raja Indian Cuisine.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is not family-friendly and has a customer rating of 5 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a cheap, family-friendly fast food restaurant in the city centre near Café Sicilia with a customer rating of 5 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a cheap fast food restaurant in the riverside area near Café Sicilia. It has a customer rating of 5 out of 5 and is not family-friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a cheap, family friendly pub with a customer rating of 5 out of 5. It is located in the riverside area near Café Sicilia. It serves fast food.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a cheap fast food restaurant located in the city centre near Café Sicilia. It is not family-friendly and has an average customer rating.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a family-friendly fast food restaurant in the city centre near Café Sicilia. It has an average customer rating and a cheap price range.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a cheap fast food restaurant in the riverside area near the Café Sicilia. It has an average customer rating and is not family-friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a cheap, family friendly, fast food restaurant in the riverside area near Café Sicilia. It has an average customer rating.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food pub located in the city centre near Café Sicilia. It has a customer rating of 1 out of 5 and a high price range. It is not child friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a pub providing fast food in the high price range. It is located in the city centre near Café Sicilia. It is kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a non-children friendly fast food restaurant in the riverside area near Café Sicilia. It has a high price range and a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a fast food restaurant in the riverside area near Café Sicilia. It is child friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food pub located in the city centre near the Café Sicilia. It has an average customer rating and a high price range. It is not child friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a children friendly pub serving fast food in the city centre near Café Sicilia. It has an average customer rating and a high price range.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant in the riverside area near the Café Sicilia. It has an average customer rating and is not children friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a children friendly fast food restaurant in the riverside area near Café Sicilia. It has an average customer rating and a high price range.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant located in the city centre near Café Sicilia. It is not family-friendly and has a low customer rating.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a family-friendly fast food restaurant in the city centre near Café Sicilia with a low customer rating and a price range of less than £20.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a fast food restaurant in the riverside area near the Café Sicilia. It has a low customer rating and is not family-friendly.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a cheap, family-friendly pub with a low customer rating. It is located in the riverside area near Café Sicilia.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a moderately priced fast food pub in the city centre near Café Sicilia. It is not kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a pub providing fast food in the moderate price range. It is located in the city centre near Café Sicilia. It is kids friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a moderately priced fast food restaurant in the riverside area near Café Sicilia. It is not kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a moderately priced fast food restaurant in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Mill is a moderately priced fast food pub in the city centre near Café Sicilia. It is not kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a pub providing fast food in the moderate price range. It is located in the city centre near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Mill is a moderately priced fast food restaurant in the riverside area near Café Sicilia. It is not kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Mill is a moderately priced fast food restaurant in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a children friendly english restaurant in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a restaurant providing english food in the high price range. It is located in the riverside area near Café Rouge. It has an average customer rating and is child friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a cheap restaurant located in the city centre near Raja Indian Cuisine. It is not family-friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a family-friendly restaurant providing english food in the less than £20 price range. It is located in the city centre near Raja Indian Cuisine.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a restaurant providing english food in the low price range. It is located in the riverside area near Raja Indian Cuisine. It is not family-friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a family-friendly restaurant located near Raja Indian Cuisine in the city centre.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the low price range. It is located in the city centre near Café Rouge. It is not family-friendly and has a low customer rating.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a family-friendly english restaurant in the city centre near Café Rouge with a low customer rating and a price range of less than £20.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the low price range. It is located in the riverside area near Café Rouge. It is not family-friendly and has a low customer rating.'
'name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a family-friendly restaurant located next to the Café Rouge.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is not child friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a moderately priced, kid friendly english restaurant in the city centre near Raja Indian Cuisine.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Mill is a moderately priced english restaurant in riverside near Raja Indian Cuisine. It is not kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the riverside area near Raja Indian Cuisine. It is kid friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the city centre near Café Rouge. It is not kids friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the city centre near Café Rouge. It is kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the riverside area near Café Rouge. It is not kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the riverside area near Café Rouge. It is kid friendly and has a customer rating of 1 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the city centre near Café Rouge. It is not kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a moderately priced english restaurant in the city centre near Café Rouge. It is kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in riverside near Café Rouge.'
'name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a restaurant providing english food in the moderate price range. It is located in the riverside area near Café Rouge. It is kid friendly and has a customer rating of 3 out of 5.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a children friendly restaurant providing english food in the riverside area near Raja Indian Cuisine. The price range is more than £30.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the high price range. It is located in the city centre near Café Rouge. It has a high customer rating and is not children friendly.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]'	'The Mill is a children friendly english restaurant in the city centre near Café Rouge with a high customer rating and a price range of more than £30.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]'	'The Mill is a restaurant providing english food in the more than £30 price range. It is located in the riverside. It is near Café Rouge. Its customer rating is high.'
'name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]'	'The Mill is a restaurant providing english food in the high price range. It is located next to Café Rouge.'
'name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a kid friendly fast food restaurant in the riverside area near Raja Indian Cuisine with a price range of £20-25.'
'name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Mill is a cheap family friendly fast food restaurant in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a cheap family friendly pub serving fast food in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a high priced pub in the city centre near Raja Indian Cuisine. It serves fast food and is not children friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly fast food pub in the city centre near Raja Indian Cuisine with a high price range.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a high priced fast food pub in the riverside area near Raja Indian Cuisine. It is not child friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly fast food pub in the riverside area near Raja Indian Cuisine with a high price range.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a fast food pub located near Raja Indian Cuisine in the city centre. It is not family-friendly and costs less than £20.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a family-friendly pub that serves fast food for less than £20. It is located in the city centre near Raja Indian Cuisine.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a non-family-friendly pub that serves fast food for less than £20. It is located in the riverside area near Raja Indian Cuisine.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a cheap, family friendly pub that serves fast food. It is located near Raja Indian Cuisine in the riverside area.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a pub providing fast food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is not kids friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a pub providing fast food in the moderate price range. It is located in the city centre near Raja Indian Cuisine and is child friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]'	'The Phoenix is a pub providing fast food in the moderate price range. It is located near Raja Indian Cuisine in riverside.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a moderately priced pub in the riverside area near Raja Indian Cuisine. It is kid friendly and serves fast food.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]'	'The Phoenix is a moderately priced, kid friendly pub with a customer rating of 3 out of 5. It is located in the riverside area near the Café Sicilia. It serves fast food.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]'	'The Phoenix is a children friendly fast food restaurant in the riverside area near Raja Indian Cuisine. It has a price range of more than £30.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Sicilia]'	'The Phoenix is a fast food restaurant in the city centre near Café Sicilia with a high customer rating and a price range of more than £30 and is not child friendly.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Sicilia]'	'The Phoenix is a children friendly fast food restaurant in the city centre near Café Sicilia with a high customer rating and a price range of more than £30.'
'name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]'	'The Phoenix is a fast food restaurant in the riverside area near the Café Sicilia. It has a high customer rating and is not children friendly.'
