name[Blue Spice], eatType[coffee shop], area[city centre]	In the city centre is a coffee shop named Blue Spice.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is family friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is not family-friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is family-friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge, is a cheap restaurant called The Cricketers. It serves English food and is not family-friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a family friendly restaurant called The Cricketers. It serves English food and is cheap.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre near Café Rouge is a high priced English restaurant called The Cricketers. It is not child friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre near Café Rouge is a high priced restaurant called The Cricketers. It serves English food and is child friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge is a high priced restaurant called The Cricketers. It serves English food and is not child friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a high priced restaurant called The Cricketers.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre near Café Rouge is a high priced English restaurant called The Cricketers. It is not child friendly.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre area near Café Rouge is a high priced restaurant called The Cricketers.
name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge is a high priced restaurant called The Cricketers. It serves English food and is not child friendly.
name[The Mill], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a child friendly pub called The Mill. It serves English food and is high priced.
name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Mill. It serves English food for less than £20. It is not family-friendly.
name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a family-friendly pub serving English food. It is called The Mill.
name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine, is a pub called The Mill. It serves English food and is not family-friendly.
name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a family friendly pub called The Mill. It serves English food for less than £20.
name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Mill. It serves English food and is not kid friendly.
name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a family-friendly pub called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near Raja Indian Cuisine, is a pub called The Mill. It serves English food and is not kid friendly.
name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine in the riverside area is a kid friendly pub that serves English food at a moderate price.
name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a child friendly pub that serves English food at a price range of more than £30.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly pub that serves Fast food, The Mill, is located near Raja Indian Cuisine.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a Fast food pub called The Mill. It is not kid friendly and has a price range of £20-25.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a Fast food pub called The Mill. It is kid friendly and has a price range of £20-25.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]	There is a pub called The Mill, near Café Rouge. It is not kid friendly and serves Fast food and is in the £20-25 price range.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]	There is a kid friendly pub that serves Fast food, The Mill, is located near Café Rouge.
name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]	There is a kid friendly pub that serves Fast food, The Mill, is located near Café Sicilia.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near Raja Indian Cuisine, is a cheap pub that is family friendly, and serves Fast food.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a cheap Fast food pub called The Mill. It is not family-friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]	There is a cheap pub that serves Fast food, is family-friendly, The Mill, is located near Café Sicilia in the city centre.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]	Near the Café Sicilia, there is a cheap Fast food pub called The Mill. It is not family-friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	Near Café Sicilia, is a cheap pub that is family friendly, and serves Fast food.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a cheap Fast food pub called The Mill. It is not family-friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]	In the city centre, near Café Sicilia, is a cheap Fast food pub called The Mill. It is family-friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]	Near the Café Sicilia, is a cheap pub called The Mill. It is not family friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]	There is a cheap pub that serves Fast food, is family friendly, and is located near Café Sicilia in the riverside area.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a high priced Fast food pub called The Mill.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]	There is a high priced pub that is family friendly, serving Fast food, is located near Café Sicilia in the city centre.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]	There is a high priced pub that serves Fast food, is located near Café Sicilia in the riverside area. It is not child friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	There is a high priced pub that is family friendly, and serves Fast food. It is located near Café Sicilia in the riverside area.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a high priced Fast food pub called The Mill. It is not child friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]	There is a pub called The Mill that serves Fast food. It is a child friendly pub in the city centre near Café Sicilia.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]	There is a high priced pub that serves Fast food, is located near Café Sicilia in the riverside area. It is not child friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]	Near the Café Sicilia is a high priced pub that is family friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a Fast food pub called The Mill. It is not family-friendly and has a price range of less than £20.
name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]	There is a family-friendly pub serving Fast food, The Mill, is located near Café Sicilia in the city centre.
name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]	Near the Café Sicilia, is a pub that serves Fast food at a price range of less than £20. It is not family-friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]	For a family friendly pub that is a Fast food pub near Café Sicilia in the riverside area.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a Fast food pub called The Mill. It is not kid friendly and has a moderate price range.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]	There is a kid-friendly pub serving Fast food, The Mill, is located near Café Sicilia in the city centre.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]	Near the Café Sicilia, there is a pub called The Mill. It is not kid friendly and serves Fast food at a moderate price range.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	There is a kid friendly pub that serves Fast food, is located near Café Sicilia in the riverside area.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a Fast food pub called The Mill. It is not kid friendly and has a moderate price range.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]	In the city centre, near Café Sicilia, is a pub called The Mill. It serves Fast food and is kid friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]	Near Café Sicilia in the riverside area is a pub called The Mill. It serves Fast food and is not kid friendly.
name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	Near Café Sicilia, is a pub that is kid friendly and serves Fast food. It is moderately priced and is located near Café Sicilia.
name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a high priced restaurant called The Mill.
name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a high priced restaurant that serves English food.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a non family-friendly English restaurant called The Mill. It is not family-friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre near Raja Indian Cuisine is a family-friendly restaurant that serves English food for less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine, is a non family friendly restaurant serving English food at less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a family friendly restaurant called The Mill. It serves English food for less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a non family-friendly English restaurant called The Mill. It is not family-friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a family-friendly restaurant called The Mill. It serves English food for less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge, is a non family friendly restaurant serving English food at less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a family friendly restaurant called The Mill. It serves English food for less than £20.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a restaurant called The Mill. It serves English food and is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a family friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine, is a moderately priced English restaurant called The Mill. It is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a kid friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a restaurant called The Mill. It serves English food and is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a kid friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge, is a moderately priced English restaurant called The Mill. It is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a kid friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a restaurant called The Mill. It serves English food and is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a kid friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge, is a moderately priced English restaurant called The Mill. It is not kid friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a kid friendly restaurant called The Mill. It serves English food and is moderately priced.
name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area near Raja Indian Cuisine is a child friendly restaurant called The Mill. It serves English food at a price range of more than £30.
name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]	In the city centre, near Café Rouge, is a restaurant called The Mill. It serves English food and is not child friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]	In the city centre, near Café Rouge, is a child friendly restaurant called The Mill. It serves English food and is more than £30.
name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]	In the riverside area near Café Rouge is a non friendly restaurant called The Mill. It serves English food and is not child friendly.
name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]	In the riverside area near Café Rouge is a child friendly restaurant called The Mill. It serves English food at a price range of more than £30.
name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly Fast food restaurant called The Mill. It is located near Raja Indian Cuisine.
name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a cheap Fast food restaurant called The Mill. It is family friendly.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a cheap pub near Raja Indian Cuisine in the riverside area. It is a family friendly pub that serves Fast food.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a high priced Fast food pub called The Phoenix. It is not child friendly.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	There is a high priced pub that is family friendly, serving Fast food, is located near Raja Indian Cuisine in the city centre.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	There is a high priced pub that serves Fast food, is located near Raja Indian Cuisine in the riverside area. It is not child friendly.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a high priced pub that is family friendly, and serves Fast food. It is located near Raja Indian Cuisine in the riverside area.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Fast food pub called The Phoenix. It is not family-friendly and has a price range of less than £20.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a family-friendly Fast food pub called The Phoenix.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	There is a pub called The Phoenix, it is not family friendly. It is located near Raja Indian Cuisine.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	For a family friendly pub that serves Fast food at a pub near Raja Indian Cuisine.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a Fast food pub called The Phoenix. It is not kid friendly and has a moderate price range.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]	In the city centre, near Raja Indian Cuisine, is a pub called The Phoenix. It serves Fast food and is kid friendly.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, there is a pub called The Phoenix. It is not kid friendly and serves Fast food at a moderate price range.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	There is a kid friendly pub that serves Fast food, is located near Raja Indian Cuisine in the riverside area.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	There is a kid friendly pub that serves Fast food, is located near Café Sicilia in the riverside area.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine is a pub that is children friendly, serves Fast food at a price range of more than £30.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a Fast food pub called The Phoenix. It is not child friendly and has a price range of more than £30.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Sicilia]	In the city centre, near Café Sicilia, is a pub called The Phoenix. It serves Fast food and is child friendly.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]	Near the Café Sicilia, is a pub that serves Fast food, is not child friendly, and is more than £30.
name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]	For a pub that is a Fast food pub that is children friendly, and is near Café Sicilia.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, is a kid friendly pub that serves French food at £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]	In the city centre, near Café Sicilia, is a French pub called The Phoenix. It is not kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]	In the city centre, near Café Sicilia, is a French pub called The Phoenix. It is kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]	In the riverside area, near Café Sicilia, is a pub called The Phoenix. It serves French food and is not kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]	In the riverside area, near Café Sicilia, is a kid friendly French pub called The Phoenix. It is in the £20-25 price range.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	Near the Crowne Plaza Hotel, is a kid friendly pub called The Phoenix. It serves French food and is in the £20-25 price range.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a pub called The Phoenix. It serves French food and is not kid friendly and has a price range of £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	Near the Crowne Plaza Hotel, is a kid friendly pub that serves French food at £20-25.
name[The Phoenix], eatType[pub], food[French], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	Near the Raja Indian Cuisine, is a family friendly pub that serves French food. It is called The Phoenix and is cheap and and is cheap.
name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not family-friendly and has a cheap price range.
name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is cheap and family-friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area near Crowne Plaza Hotel, is a cheap French pub called The Phoenix. It is not family-friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a cheap French pub called The Phoenix. It is family friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]	In the riverside area, near Raja Indian Cuisine, is a high priced French pub called The Phoenix. It is child friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not child friendly and has a high price range.
name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is child friendly and has a high price range.
name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a high priced French pub called The Phoenix. It is not child friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[high], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	In the riverside area, near Crowne Plaza Hotel, is a high priced French pub called The Phoenix. It is child friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a French pub called The Phoenix. It is not family-friendly and has a price range of less than £20.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]	In the city centre, near Crowne Plaza Hotel, is a family-friendly French pub called The Phoenix. It is less than £20.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]	For a pub serving French food at a £20 price range. It is located near Crowne Plaza Hotel in the riverside area. It is not family-friendly.
name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]	For a family friendly pub serving French food at less than £20 pounds. It is located near Crowne Plaza Hotel in the riverside area.
